order_id,customer_id,customer_name,customer_email,phone_number,shipping_address,city,state,pincode,order_date,category,product_name,quantity,price_per_unit,total_amount,payment_method,order_status
OD634202720344,CUST817551,Vikram Das,vikram.das648@example.com,9688574599,"Flat 162, Society C, Hyderabad",Hyderabad,Telangana,459883,2023-09-20 08:09:54,Fashion,Jeans,1,1299,1299,UPI,Delivered
OD531642327070,CUST176900,Ramesh Iyer,ramesh.iyer853@example.com,9594559493,"Flat 378, Society D, Nagpur",Nagpur,Maharashtra,845093,2023-09-20 08:56:24,Fashion,T-Shirt,2,499,998,UPI,Delivered
OD576567094128,CUST946558,Ramesh Chauhan,ramesh.chauhan81@example.com,9601359879,"Flat 293, Society B, Pune",Pune,Maharashtra,716727,2023-09-20 10:35:45,Books,Novel,1,299,299,Debit Card,Delivered
OD668117112255,CUST693682,Diya Singh,diya.singh546@example.com,9422539055,"Flat 410, Society C, Kanpur",Kanpur,Uttar Pradesh,538187,2023-09-20 11:53:29,Fashion,Running Shoes,1,1599,1599,Cash on Delivery,Delivered
OD549884277924,CUST558340,Suresh Chauhan,suresh.chauhan46@example.com,9565193238,"Flat 309, Society B, Nagpur",Nagpur,Maharashtra,362607,2023-09-20 13:05:53,Home,Bedsheet,1,799,799,UPI,Shipped
OD373929662814,CUST827745,Kavita Das,kavita.das618@example.com,9156958416,"Flat 318, Society A, Kolkata",Kolkata,West Bengal,636099,2023-09-20 13:57:48,Home,Bedsheet,1,799,799,Debit Card,Delivered
OD220768170938,CUST495328,Rohit Sharma,rohit.sharma562@example.com,9680821423,"Flat 81, Society C, Mumbai",Mumbai,Maharashtra,325724,2023-09-20 16:43:08,Home Appliances,Blender,1,2250,2250,Credit Card,Delivered
OD341833384250,CUST968321,Rohit Patel,rohit.patel135@example.com,9339604949,"Flat 434, Society A, Kanpur",Kanpur,Uttar Pradesh,739775,2023-09-20 18:56:03,Electronics,Smartwatch,1,2499,2499,UPI,Shipped
OD922315070844,CUST974836,Diya Patel,diya.patel476@example.com,9013262190,"Flat 278, Society B, Delhi",Delhi,Delhi,842414,2023-09-20 20:35:30,Electronics,Smartwatch,1,2499,2499,Credit Card,Delivered
OD392918037065,CUST645585,Rahul Kumar,rahul.kumar548@example.com,9376425858,"Flat 167, Society D, Kanpur",Kanpur,Uttar Pradesh,256556,2023-09-20 23:33:09,Health,Protein Powder,1,1899,1899,UPI,Delivered
OD980395952124,CUST358243,Rohit Bose,rohit.bose41@example.com,9219436724,"Flat 427, Society C, Ahmedabad",Ahmedabad,Gujarat,401352,2023-09-21 01:57:06,Home Appliances,Blender,4,2250,9000,Cash on Delivery,Delivered
OD474960433814,CUST174396,Vikram Patel,vikram.patel569@example.com,9890413197,"Flat 179, Society A, Jaipur",Jaipur,Rajasthan,325489,2023-09-21 05:39:06,Electronics,Smartwatch,2,2499,4998,UPI,Delivered
OD831886570121,CUST117602,Karan Kumar,karan.kumar438@example.com,9398190606,"Flat 156, Society D, Ahmedabad",Ahmedabad,Gujarat,356493,2023-09-21 06:47:02,Accessories,Backpack,2,899,1798,Credit Card,Delivered
OD374945182355,CUST609437,Suresh Iyer,suresh.iyer691@example.com,9800471521,"Flat 89, Society C, Jaipur",Jaipur,Rajasthan,628963,2023-09-21 08:49:27,Electronics,Wireless Earbuds,1,1999,1999,Cash on Delivery,Delivered
OD427162904340,CUST606371,Diya Singh,diya.singh30@example.com,9469456463,"Flat 212, Society A, Pune",Pune,Maharashtra,475526,2023-09-21 14:35:54,Home Appliances,Blender,3,2250,6750,Debit Card,Delivered
OD604154891846,CUST208315,Rahul Iyer,rahul.iyer932@example.com,9898334700,"Flat 431, Society C, Lucknow",Lucknow,Uttar Pradesh,363457,2023-09-21 15:24:05,Home,Bedsheet,1,799,799,UPI,Delivered
OD923893167388,CUST736786,Karan Kumar,karan.kumar708@example.com,9542118990,"Flat 395, Society C, Kolkata",Kolkata,West Bengal,801560,2023-09-21 15:25:49,Home Appliances,Blender,4,2250,9000,UPI,Delivered
OD585008453383,CUST613697,Vikram Reddy,vikram.reddy936@example.com,9467071805,"Flat 326, Society D, Jaipur",Jaipur,Rajasthan,506430,2023-09-22 00:31:39,Fashion,T-Shirt,1,499,499,Debit Card,Returned
OD951942221847,CUST269301,Sneha Kumar,sneha.kumar545@example.com,9080189604,"Flat 194, Society A, Mumbai",Mumbai,Maharashtra,510394,2023-09-22 01:17:35,Fashion,T-Shirt,1,499,499,Debit Card,Delivered
OD240235790428,CUST697733,Pooja Reddy,pooja.reddy734@example.com,9133863432,"Flat 293, Society A, Mumbai",Mumbai,Maharashtra,669075,2023-09-22 01:18:39,Books,Novel,1,299,299,Cash on Delivery,Shipped
OD381126691938,CUST818040,Suresh Das,suresh.das793@example.com,9150990038,"Flat 438, Society C, Kolkata",Kolkata,West Bengal,574480,2023-09-22 04:59:37,Electronics,Smartwatch,1,2499,2499,Cash on Delivery,Returned
OD514457725087,CUST783141,Sneha Kumar,sneha.kumar299@example.com,9957511515,"Flat 488, Society D, Pune",Pune,Maharashtra,865838,2023-09-22 05:43:13,Home,Bedsheet,3,799,2397,Debit Card,Delivered
OD685856953215,CUST801065,Rahul Joshi,rahul.joshi20@example.com,9944802364,"Flat 372, Society D, Hyderabad",Hyderabad,Telangana,756196,2023-09-22 06:59:31,Fashion,Running Shoes,2,1599,3198,UPI,Delivered
OD664492592120,CUST812302,Priya Reddy,priya.reddy739@example.com,9430795799,"Flat 29, Society B, Ahmedabad",Ahmedabad,Gujarat,388163,2023-09-22 08:03:23,Electronics,Laptop,1,54990,54990,Net Banking,Delivered
OD208449058182,CUST703577,Kavita Bose,kavita.bose122@example.com,9226283083,"Flat 417, Society C, Pune",Pune,Maharashtra,227049,2023-09-22 08:37:16,Health,Protein Powder,3,1899,5697,Debit Card,Returned
OD962691546635,CUST151362,Diya Kumar,diya.kumar793@example.com,9055249661,"Flat 62, Society D, Delhi",Delhi,Delhi,847574,2023-09-22 10:47:36,Health,Protein Powder,1,1899,1899,UPI,Delivered
OD605663008822,CUST467789,Karan Singh,karan.singh927@example.com,9056158470,"Flat 441, Society D, Pune",Pune,Maharashtra,523121,2023-09-22 16:52:27,Electronics,Smartwatch,1,2499,2499,UPI,Cancelled
OD092707472047,CUST860396,Kavita Patel,kavita.patel819@example.com,9325905134,"Flat 449, Society B, Jaipur",Jaipur,Rajasthan,640267,2023-09-22 18:02:06,Fashion,T-Shirt,1,499,499,Net Banking,Delivered
OD830095971592,CUST212481,Pooja Bose,pooja.bose763@example.com,9499745847,"Flat 66, Society B, Bengaluru",Bengaluru,Karnataka,814239,2023-09-22 19:20:52,Home,Bedsheet,5,799,3995,UPI,Delivered
OD527151622948,CUST934398,Anjali Chauhan,anjali.chauhan841@example.com,9151000578,"Flat 56, Society A, Pune",Pune,Maharashtra,581451,2023-09-22 20:15:24,Electronics,Smartphone,2,12999,25998,UPI,Delivered
OD818439259172,CUST843126,Kavita Gupta,kavita.gupta993@example.com,9819749785,"Flat 139, Society A, Kolkata",Kolkata,West Bengal,390238,2023-09-23 02:17:02,Home Appliances,Blender,1,2250,2250,Debit Card,Processing
OD524824038604,CUST636415,Diya Verma,diya.verma724@example.com,9009305459,"Flat 93, Society D, Lucknow",Lucknow,Uttar Pradesh,862914,2023-09-23 07:06:45,Electronics,Laptop,2,54990,109980,UPI,Returned
OD259649375313,CUST963735,Vikram Gupta,vikram.gupta203@example.com,9715953949,"Flat 79, Society B, Pune",Pune,Maharashtra,426841,2023-09-23 09:55:12,Electronics,Wireless Earbuds,1,1999,1999,Credit Card,Cancelled
OD314333857350,CUST873093,Ramesh Singh,ramesh.singh144@example.com,9524751859,"Flat 133, Society A, Pune",Pune,Maharashtra,384864,2023-09-23 10:54:01,Electronics,Wireless Earbuds,1,1999,1999,Net Banking,Delivered
OD016635047205,CUST712578,Arjun Bose,arjun.bose859@example.com,9560295266,"Flat 447, Society A, Kolkata",Kolkata,West Bengal,843652,2023-09-23 12:58:45,Electronics,Smartphone,1,12999,12999,Credit Card,Delivered
OD007100347482,CUST534208,Kavita Bose,kavita.bose807@example.com,9855587701,"Flat 247, Society D, Chennai",Chennai,Tamil Nadu,617711,2023-09-23 14:34:11,Electronics,Smartphone,5,12999,64995,UPI,Delivered
OD839243599788,CUST469801,Rohit Kumar,rohit.kumar559@example.com,9580018134,"Flat 492, Society B, Ahmedabad",Ahmedabad,Gujarat,150581,2023-09-23 14:47:22,Fashion,Jeans,1,1299,1299,Credit Card,Delivered
OD964199793521,CUST216349,Karan Bose,karan.bose535@example.com,9196195715,"Flat 147, Society C, Jaipur",Jaipur,Rajasthan,263533,2023-09-23 20:27:08,Electronics,Wireless Earbuds,1,1999,1999,UPI,Delivered
OD905768400452,CUST798532,Anjali Sharma,anjali.sharma184@example.com,9164228728,"Flat 428, Society A, Kolkata",Kolkata,West Bengal,125647,2023-09-23 23:51:18,Health,Protein Powder,3,1899,5697,UPI,Delivered
OD410174288340,CUST451178,Pooja Gupta,pooja.gupta816@example.com,9386021473,"Flat 37, Society D, Chennai",Chennai,Tamil Nadu,152741,2023-09-24 00:10:44,Electronics,Laptop,2,54990,109980,UPI,Delivered
OD478984319674,CUST870908,Arjun Das,arjun.das651@example.com,9857138157,"Flat 8, Society C, Lucknow",Lucknow,Uttar Pradesh,484806,2023-09-24 04:22:38,Electronics,Smartphone,2,12999,25998,Cash on Delivery,Delivered
OD966608910250,CUST445309,Vikram Sharma,vikram.sharma298@example.com,9922448424,"Flat 355, Society A, Kolkata",Kolkata,West Bengal,338865,2023-09-24 08:41:42,Home,Bedsheet,2,799,1598,UPI,Delivered
OD219329688144,CUST821971,Suresh Sharma,suresh.sharma332@example.com,9299128819,"Flat 107, Society B, Nagpur",Nagpur,Maharashtra,773568,2023-09-24 13:56:44,Fashion,Jeans,2,1299,2598,Debit Card,Delivered
OD356768940639,CUST493388,Neha Gupta,neha.gupta932@example.com,9474568577,"Flat 8, Society C, Mumbai",Mumbai,Maharashtra,405573,2023-09-24 20:56:37,Fashion,T-Shirt,1,499,499,UPI,Delivered
OD863113820306,CUST720136,Kavita Verma,kavita.verma908@example.com,9410212644,"Flat 8, Society C, Kanpur",Kanpur,Uttar Pradesh,417087,2023-09-24 22:52:15,Health,Protein Powder,1,1899,1899,UPI,Returned
OD709252995686,CUST588801,Priya Verma,priya.verma561@example.com,9747397123,"Flat 213, Society B, Kolkata",Kolkata,West Bengal,798822,2023-09-25 02:58:07,Home,Bedsheet,3,799,2397,Credit Card,Cancelled
OD613632699885,CUST819789,Neha Das,neha.das962@example.com,9963638234,"Flat 293, Society C, Bengaluru",Bengaluru,Karnataka,208573,2023-09-25 03:29:02,Home Appliances,Blender,4,2250,9000,Credit Card,Delivered
OD078401058616,CUST836699,Vikram Singh,vikram.singh96@example.com,9380015452,"Flat 159, Society B, Jaipur",Jaipur,Rajasthan,305210,2023-09-25 03:51:30,Fashion,Running Shoes,2,1599,3198,UPI,Delivered
OD582432243131,CUST102661,Anjali Singh,anjali.singh382@example.com,9271004258,"Flat 228, Society B, Kanpur",Kanpur,Uttar Pradesh,769823,2023-09-25 03:56:15,Fashion,Jeans,1,1299,1299,UPI,Shipped
OD582409141905,CUST912431,Karan Singh,karan.singh350@example.com,9689172510,"Flat 94, Society B, Bengaluru",Bengaluru,Karnataka,478042,2023-09-25 07:50:58,Electronics,Laptop,3,54990,164970,UPI,Delivered
OD967165175151,CUST947219,Anjali Singh,anjali.singh970@example.com,9482523422,"Flat 54, Society B, Kolkata",Kolkata,West Bengal,187395,2023-09-25 10:54:28,Books,Novel,1,299,299,Debit Card,Delivered
OD346832303175,CUST952611,Anjali Chauhan,anjali.chauhan257@example.com,9414272825,"Flat 359, Society D, Hyderabad",Hyderabad,Telangana,723428,2023-09-25 11:40:34,Electronics,Laptop,3,54990,164970,Debit Card,Delivered
OD049825301313,CUST413439,Arjun Iyer,arjun.iyer71@example.com,9302565441,"Flat 130, Society D, Mumbai",Mumbai,Maharashtra,226115,2023-09-25 18:00:03,Fashion,Running Shoes,1,1599,1599,UPI,Delivered
OD591313739594,CUST998999,Amit Nair,amit.nair779@example.com,9263524135,"Flat 57, Society C, Chennai",Chennai,Tamil Nadu,838788,2023-09-25 18:54:06,Fashion,T-Shirt,5,499,2495,Cash on Delivery,Delivered
OD221876045523,CUST799717,Amit Verma,amit.verma324@example.com,9649346847,"Flat 4, Society C, Mumbai",Mumbai,Maharashtra,696295,2023-09-25 18:55:11,Health,Protein Powder,1,1899,1899,UPI,Returned
OD216198515355,CUST394150,Ramesh Chauhan,ramesh.chauhan844@example.com,9583281690,"Flat 485, Society D, Delhi",Delhi,Delhi,661512,2023-09-25 21:49:15,Books,Novel,1,299,299,UPI,Cancelled
OD470689226071,CUST159669,Amit Das,amit.das897@example.com,9879125576,"Flat 234, Society D, Nagpur",Nagpur,Maharashtra,694130,2023-09-26 00:36:43,Electronics,Wireless Earbuds,1,1999,1999,Credit Card,Processing
OD227020238110,CUST654288,Kavita Patel,kavita.patel302@example.com,9738697054,"Flat 39, Society B, Delhi",Delhi,Delhi,298022,2023-09-26 04:28:25,Books,Novel,1,299,299,Debit Card,Delivered
OD823383010231,CUST402750,Suresh Patel,suresh.patel886@example.com,9277552863,"Flat 264, Society C, Jaipur",Jaipur,Rajasthan,818492,2023-09-26 07:10:32,Fashion,Jeans,1,1299,1299,Cash on Delivery,Delivered
OD145292566209,CUST372380,Suresh Gupta,suresh.gupta543@example.com,9269121273,"Flat 228, Society B, Kolkata",Kolkata,West Bengal,142565,2023-09-26 17:15:33,Home,Bedsheet,1,799,799,UPI,Delivered
OD487817596382,CUST131692,Sneha Gupta,sneha.gupta114@example.com,9777764113,"Flat 406, Society C, Ahmedabad",Ahmedabad,Gujarat,365051,2023-09-26 18:19:28,Fashion,Running Shoes,1,1599,1599,UPI,Shipped
OD919395590490,CUST746015,Arjun Verma,arjun.verma357@example.com,9814551146,"Flat 421, Society A, Kanpur",Kanpur,Uttar Pradesh,331751,2023-09-26 20:34:26,Home,Bedsheet,2,799,1598,Net Banking,Cancelled
OD328748555201,CUST995775,Anjali Kumar,anjali.kumar387@example.com,9271945829,"Flat 192, Society B, Mumbai",Mumbai,Maharashtra,341625,2023-09-26 22:00:59,Fashion,Running Shoes,3,1599,4797,UPI,Delivered
OD387898117432,CUST384495,Rohit Gupta,rohit.gupta84@example.com,9709296730,"Flat 407, Society C, Nagpur",Nagpur,Maharashtra,398595,2023-09-26 23:52:48,Electronics,Smartwatch,1,2499,2499,Net Banking,Delivered
OD864493896211,CUST307678,Priya Singh,priya.singh206@example.com,9585281848,"Flat 222, Society B, Nagpur",Nagpur,Maharashtra,192399,2023-09-27 02:11:21,Home,Bedsheet,1,799,799,UPI,Delivered
OD853545381455,CUST747652,Suresh Joshi,suresh.joshi990@example.com,9025847154,"Flat 261, Society D, Lucknow",Lucknow,Uttar Pradesh,803315,2023-09-27 04:28:10,Accessories,Backpack,2,899,1798,Cash on Delivery,Processing
OD666177733891,CUST985462,Neha Nair,neha.nair281@example.com,9248113909,"Flat 403, Society C, Pune",Pune,Maharashtra,814588,2023-09-27 05:30:00,Fashion,T-Shirt,1,499,499,UPI,Delivered
OD093225286572,CUST488333,Suresh Nair,suresh.nair126@example.com,9947565537,"Flat 213, Society D, Delhi",Delhi,Delhi,150353,2023-09-27 05:56:08,Books,Novel,1,299,299,UPI,Returned
OD625286502074,CUST928833,Priya Reddy,priya.reddy470@example.com,9635817465,"Flat 119, Society C, Kolkata",Kolkata,West Bengal,303788,2023-09-27 06:03:23,Fashion,T-Shirt,2,499,998,UPI,Delivered
OD442483220082,CUST978047,Anjali Chauhan,anjali.chauhan491@example.com,9566916798,"Flat 295, Society B, Delhi",Delhi,Delhi,652480,2023-09-27 11:29:20,Home Appliances,Blender,1,2250,2250,Cash on Delivery,Delivered
OD036640499633,CUST502049,Priya Sharma,priya.sharma809@example.com,9975380065,"Flat 286, Society C, Ahmedabad",Ahmedabad,Gujarat,412973,2023-09-27 11:49:05,Home Appliances,Blender,1,2250,2250,UPI,Delivered
OD014580364891,CUST603238,Diya Iyer,diya.iyer938@example.com,9613224503,"Flat 332, Society C, Delhi",Delhi,Delhi,396790,2023-09-27 12:41:24,Fashion,Running Shoes,1,1599,1599,Cash on Delivery,Delivered
OD021868123416,CUST909535,Priya Kumar,priya.kumar548@example.com,9577238514,"Flat 199, Society D, Bengaluru",Bengaluru,Karnataka,150289,2023-09-27 16:49:15,Home Appliances,Blender,1,2250,2250,Cash on Delivery,Delivered
OD313921697530,CUST393533,Vikram Verma,vikram.verma663@example.com,9642883229,"Flat 246, Society B, Ahmedabad",Ahmedabad,Gujarat,457675,2023-09-27 17:07:10,Home,Bedsheet,1,799,799,UPI,Delivered
OD475199667093,CUST996482,Anjali Singh,anjali.singh680@example.com,9165364750,"Flat 55, Society B, Pune",Pune,Maharashtra,797081,2023-09-27 18:19:53,Electronics,Smartphone,2,12999,25998,UPI,Delivered
OD781485771789,CUST766761,Ramesh Sharma,ramesh.sharma634@example.com,9747882577,"Flat 281, Society A, Kolkata",Kolkata,West Bengal,448647,2023-09-27 18:57:03,Home Appliances,Blender,2,2250,4500,Cash on Delivery,Delivered
OD430753742718,CUST584775,Neha Patel,neha.patel359@example.com,9279549766,"Flat 304, Society B, Bengaluru",Bengaluru,Karnataka,515192,2023-09-27 21:51:44,Electronics,Smartphone,3,12999,38997,UPI,Delivered
OD188700290525,CUST932583,Pooja Nair,pooja.nair746@example.com,9686791296,"Flat 91, Society A, Lucknow",Lucknow,Uttar Pradesh,426678,2023-09-27 23:01:27,Fashion,T-Shirt,1,499,499,Cash on Delivery,Delivered
OD968660576425,CUST838059,Rahul Joshi,rahul.joshi918@example.com,9859412563,"Flat 336, Society B, Chennai",Chennai,Tamil Nadu,159796,2023-09-28 01:44:01,Fashion,T-Shirt,1,499,499,Debit Card,Delivered
OD043419416169,CUST280926,Sneha Nair,sneha.nair569@example.com,9447771135,"Flat 14, Society A, Kolkata",Kolkata,West Bengal,503371,2023-09-28 04:07:35,Accessories,Backpack,4,899,3596,UPI,Shipped
OD411168668804,CUST752116,Suresh Reddy,suresh.reddy79@example.com,9463549001,"Flat 85, Society B, Delhi",Delhi,Delhi,469223,2023-09-28 05:08:15,Electronics,Smartphone,1,12999,12999,UPI,Delivered
OD403084694234,CUST677706,Sneha Chauhan,sneha.chauhan305@example.com,9757319173,"Flat 446, Society D, Pune",Pune,Maharashtra,837241,2023-09-28 05:14:49,Electronics,Wireless Earbuds,1,1999,1999,Debit Card,Delivered
OD583703224606,CUST935821,Sneha Iyer,sneha.iyer383@example.com,9006807756,"Flat 301, Society A, Hyderabad",Hyderabad,Telangana,609799,2023-09-28 05:52:05,Electronics,Smartwatch,1,2499,2499,Cash on Delivery,Delivered
OD041307201861,CUST805518,Rohit Sharma,rohit.sharma218@example.com,9736850400,"Flat 409, Society B, Bengaluru",Bengaluru,Karnataka,364610,2023-09-28 07:50:19,Health,Protein Powder,3,1899,5697,UPI,Delivered
OD760251366758,CUST266412,Kavita Patel,kavita.patel378@example.com,9641051368,"Flat 161, Society C, Jaipur",Jaipur,Rajasthan,462003,2023-09-28 12:33:25,Electronics,Smartphone,1,12999,12999,Debit Card,Delivered
OD653525660946,CUST130749,Anjali Sharma,anjali.sharma13@example.com,9486122774,"Flat 156, Society C, Kanpur",Kanpur,Uttar Pradesh,653110,2023-09-28 15:44:59,Home,Bedsheet,2,799,1598,Debit Card,Delivered
OD218357773418,CUST699476,Rohit Kumar,rohit.kumar130@example.com,9173395299,"Flat 499, Society D, Lucknow",Lucknow,Uttar Pradesh,134477,2023-09-28 19:48:00,Fashion,Running Shoes,1,1599,1599,UPI,Shipped
OD408812193254,CUST658610,Priya Joshi,priya.joshi791@example.com,9299902607,"Flat 396, Society B, Chennai",Chennai,Tamil Nadu,828765,2023-09-29 00:09:37,Electronics,Laptop,1,54990,54990,Debit Card,Delivered
OD762879914464,CUST795192,Rohit Reddy,rohit.reddy495@example.com,9122008800,"Flat 333, Society D, Kanpur",Kanpur,Uttar Pradesh,773827,2023-09-29 01:10:44,Books,Novel,1,299,299,UPI,Delivered
OD474098646175,CUST590954,Rahul Verma,rahul.verma867@example.com,9856169656,"Flat 381, Society D, Kanpur",Kanpur,Uttar Pradesh,748893,2023-09-29 03:34:21,Books,Novel,1,299,299,UPI,Delivered
OD267410569154,CUST724988,Vikram Deshmukh,vikram.deshmukh527@example.com,9979000865,"Flat 205, Society A, Kanpur",Kanpur,Uttar Pradesh,488309,2023-09-29 03:35:46,Health,Protein Powder,1,1899,1899,UPI,Shipped
OD078336478597,CUST771171,Arjun Joshi,arjun.joshi841@example.com,9748524413,"Flat 1, Society D, Nagpur",Nagpur,Maharashtra,219972,2023-09-29 04:50:34,Electronics,Wireless Earbuds,1,1999,1999,UPI,Returned
OD444334504607,CUST151528,Sneha Reddy,sneha.reddy130@example.com,9999458955,"Flat 464, Society B, Delhi",Delhi,Delhi,867081,2023-09-29 05:42:53,Health,Protein Powder,1,1899,1899,UPI,Delivered
OD299913163867,CUST828538,Karan Nair,karan.nair405@example.com,9371251780,"Flat 127, Society C, Pune",Pune,Maharashtra,530719,2023-09-29 07:54:48,Books,Novel,1,299,299,Cash on Delivery,Delivered
OD783633141521,CUST188270,Kavita Deshmukh,kavita.deshmukh589@example.com,9397695733,"Flat 265, Society B, Kolkata",Kolkata,West Bengal,650590,2023-09-29 09:05:40,Electronics,Smartphone,1,12999,12999,UPI,Shipped
OD014142765399,CUST161283,Karan Patel,karan.patel410@example.com,9857693179,"Flat 154, Society A, Chennai",Chennai,Tamil Nadu,292040,2023-09-29 10:27:13,Home Appliances,Blender,1,2250,2250,UPI,Delivered
OD580598019963,CUST221474,Suresh Sharma,suresh.sharma558@example.com,9445316414,"Flat 177, Society D, Bengaluru",Bengaluru,Karnataka,507860,2023-09-29 13:25:01,Electronics,Smartwatch,1,2499,2499,UPI,Cancelled
OD061602476329,CUST347696,Ramesh Das,ramesh.das3@example.com,9548734516,"Flat 250, Society A, Kanpur",Kanpur,Uttar Pradesh,223066,2023-09-29 17:46:36,Home,Bedsheet,1,799,799,UPI,Delivered
OD932996195202,CUST983330,Kavita Singh,kavita.singh920@example.com,9982494651,"Flat 6, Society B, Bengaluru",Bengaluru,Karnataka,878008,2023-09-29 19:02:21,Fashion,Running Shoes,1,1599,1599,Debit Card,Delivered
OD690452775915,CUST742996,Neha Joshi,neha.joshi523@example.com,9593479265,"Flat 310, Society D, Bengaluru",Bengaluru,Karnataka,453108,2023-09-29 19:17:49,Home Appliances,Blender,3,2250,6750,UPI,Shipped
OD566876357517,CUST767676,Diya Reddy,diya.reddy147@example.com,9694342755,"Flat 183, Society D, Pune",Pune,Maharashtra,286804,2023-09-29 20:23:17,Accessories,Backpack,1,899,899,Cash on Delivery,Delivered
OD629656890445,CUST259640,Kavita Verma,kavita.verma957@example.com,9246686061,"Flat 97, Society C, Chennai",Chennai,Tamil Nadu,628928,2023-09-30 00:31:14,Electronics,Smartwatch,1,2499,2499,Net Banking,Delivered
OD706822749494,CUST320115,Karan Singh,karan.singh112@example.com,9371649324,"Flat 370, Society D, Pune",Pune,Maharashtra,505255,2023-09-30 01:35:36,Health,Protein Powder,1,1899,1899,Credit Card,Delivered
OD148767042850,CUST275799,Vikram Reddy,vikram.reddy724@example.com,9295460133,"Flat 323, Society C, Bengaluru",Bengaluru,Karnataka,135364,2023-09-30 02:53:35,Fashion,Running Shoes,1,1599,1599,UPI,Delivered
OD723392454099,CUST572241,Anjali Patel,anjali.patel633@example.com,9085666969,"Flat 359, Society B, Kolkata",Kolkata,West Bengal,519800,2023-09-30 05:15:45,Fashion,Running Shoes,1,1599,1599,Credit Card,Delivered
OD485147177191,CUST863234,Diya Patel,diya.patel680@example.com,9508149918,"Flat 403, Society D, Chennai",Chennai,Tamil Nadu,715695,2023-09-30 06:31:24,Fashion,Running Shoes,1,1599,1599,UPI,Delivered
OD998551487816,CUST589478,Diya Joshi,diya.joshi17@example.com,9318507414,"Flat 156, Society B, Jaipur",Jaipur,Rajasthan,353038,2023-09-30 12:07:23,Accessories,Backpack,2,899,1798,Credit Card,Delivered
OD793028377341,CUST642436,Sneha Singh,sneha.singh384@example.com,9195213940,"Flat 18, Society A, Lucknow",Lucknow,Uttar Pradesh,617568,2023-09-30 12:52:52,Fashion,Running Shoes,1,1599,1599,Credit Card,Delivered
OD513534064690,CUST456290,Neha Kumar,neha.kumar393@example.com,9805768369,"Flat 347, Society A, Ahmedabad",Ahmedabad,Gujarat,292200,2023-09-30 16:24:20,Electronics,Smartphone,1,12999,12999,UPI,Delivered
OD921075502554,CUST953914,Rohit Kumar,rohit.kumar206@example.com,9808615845,"Flat 258, Society C, Bengaluru",Bengaluru,Karnataka,234741,2023-09-30 16:55:51,Books,Novel,1,299,299,UPI,Delivered
OD429233853080,CUST813346,Arjun Kumar,arjun.kumar4@example.com,9658975253,"Flat 239, Society D, Chennai",Chennai,Tamil Nadu,802520,2023-09-30 17:20:44,Fashion,T-Shirt,1,499,499,UPI,Delivered
OD425359455335,CUST796922,Arjun Nair,arjun.nair932@example.com,9556940706,"Flat 2, Society C, Mumbai",Mumbai,Maharashtra,409130,2023-09-30 19:11:22,Fashion,Jeans,1,1299,1299,Debit Card,Delivered
